program starts ... 
io initialization starts ... 
writing initial data to files ...
calculating golden model ... 
calculating using sim model ... 
result comparison ...
diff_out_fm[2][22][30] = -36028.145 55.66 2005382.1
diff_out_fm[2][22][31] = -18001.926 55.68 1002402.9
diff_out_fm[2][23][30] = -35637.039 56.299999 2006421.5
diff_out_fm[2][23][31] = -17806.572 56.32 1002922.4
diff_out_fm[2][24][30] = -35254.715 56.939999 2007460.5
diff_out_fm[2][24][31] = -17615.605 56.959999 1003441.8
diff_out_fm[2][25][30] = -34880.898 57.580002 2008499.8
diff_out_fm[2][25][31] = -17428.885 57.599998 1003961.4
diff_out_fm[2][26][30] = -34515.297 58.220001 2009538.9
diff_out_fm[2][26][31] = -17246.266 58.240002 1004480.8
diff_out_fm[2][27][30] = -34157.648 58.860001 2010578.1
diff_out_fm[2][27][31] = -17067.617 58.880001 1005000.2
diff_out_fm[2][28][30] = -33807.699 59.5 2011617.6
diff_out_fm[2][28][31] = -16892.814 59.52 1005519.8
diff_out_fm[2][29][30] = -33465.195 60.139999 2012656.9
diff_out_fm[2][29][31] = -16721.727 60.16 1006039.2
diff_out_fm[2][30][0] = -33415.891 60.18 2011028.5
diff_out_fm[2][30][1] = -33405.328 60.200001 2011061
diff_out_fm[2][30][2] = -33394.773 60.220001 2011093.6
diff_out_fm[2][30][3] = -33384.227 60.240002 2011126.1
diff_out_fm[2][30][4] = -33373.688 60.259998 2011158.6
diff_out_fm[2][30][5] = -33363.148 60.279999 2011190.9
diff_out_fm[2][30][6] = -33352.621 60.299999 2011223.4
diff_out_fm[2][30][7] = -33342.094 60.32 2011255.5
diff_out_fm[2][30][8] = -33331.582 60.34 2011288.1
diff_out_fm[2][30][9] = -33321.078 60.360001 2011320.8
diff_out_fm[2][30][10] = -33310.578 60.380001 2011353.1
diff_out_fm[2][30][11] = -33300.086 60.400002 2011385.6
diff_out_fm[2][30][12] = -33289.602 60.419998 2011418.1
diff_out_fm[2][30][13] = -33279.121 60.439999 2011450.6
diff_out_fm[2][30][14] = -33268.648 60.459999 2011483
diff_out_fm[2][30][15] = -33258.184 60.48 2011515.5
diff_out_fm[2][30][16] = -33247.723 60.5 2011547.8
diff_out_fm[2][30][17] = -33237.273 60.52 2011580.2
diff_out_fm[2][30][18] = -33226.832 60.540001 2011613
diff_out_fm[2][30][19] = -33216.391 60.560001 2011645.2
diff_out_fm[2][30][20] = -33205.961 60.580002 2011677.9
diff_out_fm[2][30][21] = -33195.539 60.599998 2011710.1
diff_out_fm[2][30][22] = -33185.125 60.619999 2011742.9
diff_out_fm[2][30][23] = -33174.711 60.639999 2011775.1
diff_out_fm[2][30][24] = -33164.309 60.66 2011807.6
diff_out_fm[2][30][25] = -33153.91 60.68 2011840
diff_out_fm[2][30][26] = -33143.523 60.700001 2011872.6
diff_out_fm[2][30][27] = -33133.141 60.720001 2011905
diff_out_fm[2][30][28] = -33122.762 60.740002 2011937.4
diff_out_fm[2][30][29] = -33112.395 60.759998 2011969.9
diff_out_fm[2][30][30] = -22060.986 60.779999 1340927.5
diff_out_fm[2][30][31] = -11023.192 60.799999 670270.88
diff_out_fm[2][31][0] = -16521.227 60.82 1004881.8
diff_out_fm[2][31][1] = -16516.059 60.84 1004897.9
diff_out_fm[2][31][2] = -16510.898 60.860001 1004914.1
diff_out_fm[2][31][3] = -16505.738 60.880001 1004930.2
diff_out_fm[2][31][4] = -16500.584 60.900002 1004946.5
diff_out_fm[2][31][5] = -16495.434 60.919998 1004962.8
diff_out_fm[2][31][6] = -16490.287 60.939999 1004979
diff_out_fm[2][31][7] = -16485.141 60.959999 1004995.1
